Hits,Percentage,State/Region,Country
4,0.01%,Constanta,Romania
4,0.01%,Bihor,Romania
4,0.01%,Evora,Portugal
4,0.01%,(unknown region),Portugal
4,0.01%,Nueva Ecija,Philippines
4,0.01%,Batangas,Philippines
4,0.01%,(unknown region),New Zealand
4,0.01%,Vestfold,Norway
4,0.01%,Telemark,Norway
4,0.01%,Nordland,Norway
4,0.01%,Guanajuato,Mexico
4,0.01%,Male,Maldives
4,0.01%,(unknown region),Myanmar
4,0.01%,Bamako,Mali
4,0.01%,Oriental,Morocco
4,0.01%,Gharb-Chrarda-Beni Hssen,Morocco
4,0.01%,(unknown region),Luxembourg
4,0.01%,Montserrado,Liberia
4,0.01%,Nabatiye,Lebanon
4,0.01%,Inch'on-jikhalsi,"Korea, Republic of"
4,0.01%,Coast,Kenya
4,0.01%,Central,Kenya
4,0.01%,(unknown region),Jersey
4,0.01%,Puglia,Italy
4,0.01%,Abruzzi,Italy
4,0.01%,(unknown region),Iceland
4,0.01%,Tehran,"Iran, Islamic Republic of"
4,0.01%,As Sulaymaniyah,Iraq
4,0.01%,Goa,India
4,0.01%,Mizoram,India
4,0.01%,Manipur,India
4,0.01%,Kepulauan Riau,Indonesia
4,0.01%,(unknown region),Georgia
4,0.01%,Powys,United Kingdom
4,0.01%,Bridgend,United Kingdom
4,0.01%,Inverclyde,United Kingdom
4,0.01%,Aberdeenshire,United Kingdom
4,0.01%,Newtownabbey,United Kingdom
4,0.01%,Staffordshire,United Kingdom
4,0.01%,South Tyneside,United Kingdom
4,0.01%,Salford,United Kingdom
4,0.01%,North Tyneside,United Kingdom
4,0.01%,Calderdale,United Kingdom
4,0.01%,Bexley,United Kingdom
4,0.01%,Languedoc-Roussillon,France
4,0.01%,Central,Fiji
4,0.01%,Eastern Finland,Finland
4,0.01%,Hiiumaa,Estonia
4,0.01%,Pernambuco,Brazil
4,0.01%,Ceara,Brazil
4,0.01%,(unknown region),Brunei Darussalam
4,0.01%,(unknown region),Angola
4,0.01%,Saint John,Antigua and Barbuda
3,0.00%,Central,Zambia
3,0.00%,Phu Yen,Vietnam
3,0.00%,Dnipropetrovs'ka Oblast',Ukraine
3,0.00%,Batman,Turkey
3,0.00%,Diyarbakir,Turkey
3,0.00%,Al Munastir,Tunisia
3,0.00%,Al Qayrawan,Tunisia
3,0.00%,Rayong,Thailand
3,0.00%,Trnava,Slovakia
3,0.00%,Presov,Slovakia
3,0.00%,(unknown region),Slovenia
3,0.00%,Koper-Capodistria,Slovenia
3,0.00%,Vastmanlands Lan,Sweden
3,0.00%,Vasternorrlands Lan,Sweden
3,0.00%,Uppsala Lan,Sweden
3,0.00%,Tyumen',Russian Federation
3,0.00%,Chuvashia,Russian Federation
3,0.00%,Suceava,Romania
3,0.00%,Brasov,Romania
3,0.00%,(unknown region),Reunion
3,0.00%,Ar Rayyan,Qatar
3,0.00%,Vila Real,Portugal
3,0.00%,Viana do Castelo,Portugal
3,0.00%,Coimbra,Portugal
3,0.00%,Tarlac,Philippines
3,0.00%,Misamis Occidental,Philippines
3,0.00%,Colon,Panama
3,0.00%,Hordaland,Norway
3,0.00%,Akershus,Norway
3,0.00%,Zeeland,Netherlands
3,0.00%,Managua,Nicaragua
3,0.00%,(unknown region),Niger
3,0.00%,(unknown region),Malaysia
3,0.00%,Veracruz-Llave,Mexico
3,0.00%,Aguascalientes,Mexico
3,0.00%,Uva,Sri Lanka
3,0.00%,Okinawa,Japan
3,0.00%,Saint James,Jamaica
3,0.00%,(unknown region),Isle of Man
3,0.00%,Laois,Ireland
3,0.00%,Kerry,Ireland
3,0.00%,Clare,Ireland
3,0.00%,Sumatera Utara,Indonesia
3,0.00%,Kalimantan Timur,Indonesia
3,0.00%,Brodsko-Posavska,Croatia
3,0.00%,Akhaia,Greece
3,0.00%,Banjul,Gambia
3,0.00%,Caerphilly,United Kingdom
3,0.00%,West Lothian,United Kingdom
3,0.00%,Midlothian,United Kingdom
3,0.00%,East Ayrshire,United Kingdom
3,0.00%,Dundee City,United Kingdom
3,0.00%,Wakefield,United Kingdom
3,0.00%,Sandwell,United Kingdom
3,0.00%,Derbyshire,United Kingdom
3,0.00%,Bournemouth,United Kingdom
3,0.00%,Alsace,France
3,0.00%,Picardie,France
3,0.00%,(unknown region),Finland
3,0.00%,Extremadura,Spain
3,0.00%,Al Gharbiyah,Egypt
3,0.00%,Tartumaa,Estonia
3,0.00%,Ida-Virumaa,Estonia
3,0.00%,Oran,Algeria
3,0.00%,(unknown region),Dominican Republic
3,0.00%,Shaanxi,China
3,0.00%,Shanxi,China
3,0.00%,Hunan,China
3,0.00%,Centre,Cameroon
3,0.00%,Coquimbo,Chile
3,0.00%,Vaud,Switzerland
3,0.00%,Luzern,Switzerland
3,0.00%,(unknown region),Switzerland
3,0.00%,Kinshasa,"Congo, The Democratic Republic of"
3,0.00%,(unknown region),"Congo, The Democratic Republic of"
3,0.00%,Newfoundland,Canada
3,0.00%,Sergipe,Brazil
3,0.00%,Paraiba,Brazil
3,0.00%,(unknown region),Brazil
3,0.00%,La Paz,Bolivia
3,0.00%,Paget,Bermuda
3,0.00%,Littoral,Benin
3,0.00%,Varna,Bulgaria
3,0.00%,Sylhet,Bangladesh
3,0.00%,(unknown region),Azerbaijan
3,0.00%,Vorarlberg,Austria
3,0.00%,Tucuman,Argentina
3,0.00%,Chubut,Argentina
3,0.00%,Cuanza Norte,Angola
3,0.00%,(unknown region),(unknown country)
2,0.00%,Shefa,Vanuatu
2,0.00%,Aragua,Venezuela
2,0.00%,Mykolayivs'ka Oblast',Ukraine
2,0.00%,Kyyivs'ka Oblast',Ukraine
2,0.00%,Krym,Ukraine
2,0.00%,Kirovohrads'ka Oblast',Ukraine
2,0.00%,Rukwa,"Tanzania, United Republic of"
2,0.00%,Zanzibar Central,"Tanzania, United Republic of"
2,0.00%,(unknown region),"Tanzania, United Republic of"
2,0.00%,(unknown region),Taiwan
2,0.00%,Kao-hsiung,Taiwan
2,0.00%,San Fernando,Trinidad and Tobago
2,0.00%,Port-of-Spain,Trinidad and Tobago
2,0.00%,Gaziantep,Turkey
2,0.00%,Ordu,Turkey
2,0.00%,Icel,Turkey
2,0.00%,Eskisehir,Turkey
2,0.00%,Elazig,Turkey
2,0.00%,Denizli,Turkey
2,0.00%,Aydin,Turkey
2,0.00%,Nabul,Tunisia
2,0.00%,(unknown region),Tajikistan
2,0.00%,Chon Buri,Thailand
2,0.00%,Khon Kaen,Thailand
2,0.00%,(unknown region),Sierra Leone
2,0.00%,Kosice,Slovakia
2,0.00%,Varmlands Lan,Sweden
2,0.00%,Sodermanlands Lan,Sweden
2,0.00%,(unknown region),Seychelles
2,0.00%,(unknown region),Saudi Arabia
2,0.00%,Tambovskaya oblast,Russian Federation
2,0.00%,Khabarovsk,Russian Federation
2,0.00%,Chelyabinsk,Russian Federation
2,0.00%,Sibiu,Romania
2,0.00%,Mures,Romania
2,0.00%,Arad,Romania
2,0.00%,Alba,Romania
2,0.00%,Santarem,Portugal
2,0.00%,Castelo Branco,Portugal
2,0.00%,Beja,Portugal
2,0.00%,Cotabato,Philippines
2,0.00%,Bacolod,Philippines
2,0.00%,Mindoro Occidental,Philippines
2,0.00%,La Union,Philippines
2,0.00%,Davao del Sur,Philippines
2,0.00%,Bataan,Philippines
2,0.00%,National Capital,Papua New Guinea
2,0.00%,North Solomons,Papua New Guinea
2,0.00%,Arequipa,Peru
2,0.00%,Musandam,Oman
2,0.00%,Ostfold,Norway
2,0.00%,Kwara,Nigeria
2,0.00%,(unknown region),New Caledonia
2,0.00%,Johor,Malaysia
2,0.00%,Quintana Roo,Mexico
2,0.00%,Michoacan de Ocampo,Mexico
2,0.00%,Durango,Mexico
2,0.00%,Coahuila de Zaragoza,Mexico
2,0.00%,Chihuahua,Mexico
2,0.00%,Blantyre,Malawi
2,0.00%,Riviere du Rempart,Mauritius
2,0.00%,Ilhas,Macao
2,0.00%,(unknown region),Montenegro
2,0.00%,Balti,"Moldova, Republic of"
2,0.00%,Tanger-Tetouan,Morocco
2,0.00%,Klaipedos Apskritis,Lithuania
2,0.00%,Maseru,Lesotho
2,0.00%,(unknown region),Kazakhstan
2,0.00%,Phnum Penh,Cambodia
2,0.00%,Hyogo,Japan
2,0.00%,Vesturland,Iceland
2,0.00%,Khorasan-e Razavi,"Iran, Islamic Republic of"
2,0.00%,Sikkim,India
2,0.00%,(unknown region),India
2,0.00%,Waterford,Ireland
2,0.00%,Irian Jaya Barat,Indonesia
2,0.00%,Riau,Indonesia
2,0.00%,Papua,Indonesia
2,0.00%,(unknown region),Indonesia
2,0.00%,Jasz-Nagykun-Szolnok,Hungary
2,0.00%,Borsod-Abauj-Zemplen,Hungary
2,0.00%,Bacs-Kiskun,Hungary
2,0.00%,Varazdinska,Croatia
2,0.00%,Splitsko-Dalmatinska,Croatia
2,0.00%,Primorsko-Goranska,Croatia
2,0.00%,Koprivnicko-Krizevacka,Croatia
2,0.00%,Magnisia,Greece
2,0.00%,Trikala,Greece
2,0.00%,Kavala,Greece
2,0.00%,Torfaen,United Kingdom
2,0.00%,Newport,United Kingdom
2,0.00%,Denbighshire,United Kingdom
2,0.00%,Renfrewshire,United Kingdom
2,0.00%,North Ayrshire,United Kingdom
2,0.00%,Highland,United Kingdom
2,0.00%,Falkirk,United Kingdom
2,0.00%,East Lothian,United Kingdom
2,0.00%,Derry,United Kingdom
2,0.00%,Craigavon,United Kingdom
2,0.00%,Ballymena,United Kingdom
2,0.00%,Torbay,United Kingdom
2,0.00%,Tameside,United Kingdom
2,0.00%,Poole,United Kingdom
2,0.00%,Peterborough,United Kingdom
2,0.00%,North Lincolnshire,United Kingdom
2,0.00%,Gateshead,United Kingdom
2,0.00%,Doncaster,United Kingdom
2,0.00%,Bury,United Kingdom
2,0.00%,Bolton,United Kingdom
2,0.00%,Blackpool,United Kingdom
2,0.00%,(unknown region),United Kingdom
2,0.00%,(unknown region),United Kingdom
2,0.00%,(unknown region),United Kingdom
2,0.00%,Limousin,France
2,0.00%,Bourgogne,France
2,0.00%,Auvergne,France
2,0.00%,Murcia,Spain
2,0.00%,Asyut,Egypt
2,0.00%,Al Qalyubiyah,Egypt
2,0.00%,Al Bahr al Ahmar,Egypt
2,0.00%,Setif,Algeria
2,0.00%,Constantine,Algeria
2,0.00%,(unknown region),Algeria
2,0.00%,Moravskoslezsky kraj,Czech Republic
2,0.00%,(unknown region),Cuba
2,0.00%,Caldas,Colombia
2,0.00%,Atlantico,Colombia
2,0.00%,Zhejiang,China
2,0.00%,Valais,Switzerland
2,0.00%,Schaffhausen,Switzerland
2,0.00%,Northwest Territories,Canada
2,0.00%,Mato Grosso do Sul,Brazil
2,0.00%,Espirito Santo,Brazil
2,0.00%,Amazonas,Brazil
2,0.00%,(unknown region),Brazil
2,0.00%,Veliko Turnovo,Bulgaria
2,0.00%,Dobrich,Bulgaria
2,0.00%,Kadiogo,Burkina Faso
2,0.00%,(unknown region),Burkina Faso
2,0.00%,Khulna,Bangladesh
2,0.00%,(unknown region),Aruba
2,0.00%,(unknown region),Australia
2,0.00%,Steiermark,Austria
2,0.00%,Salzburg,Austria
2,0.00%,San Juan,Argentina
2,0.00%,Salta,Argentina
2,0.00%,(unknown region),Armenia
2,0.00%,Fujairah,United Arab Emirates
1,0.00%,Adan,Yemen
1,0.00%,Nam Ha,Vietnam
1,0.00%,Ha Giang,Vietnam
1,0.00%,Merida,Venezuela
1,0.00%,Guarico,Venezuela
1,0.00%,Anzoategui,Venezuela
1,0.00%,(unknown region),Uruguay
1,0.00%,(unknown region),Uruguay
1,0.00%,(unknown region),Uganda
1,0.00%,Zaporiz'ka Oblast',Ukraine
1,0.00%,Zakarpats'ka Oblast',Ukraine
1,0.00%,Poltavs'ka Oblast',Ukraine
1,0.00%,Chernivets'ka Oblast',Ukraine
1,0.00%,Chernihivs'ka Oblast',Ukraine
1,0.00%,Singida,"Tanzania, United Republic of"
1,0.00%,Ruvuma,"Tanzania, United Republic of"
1,0.00%,Dodoma,"Tanzania, United Republic of"
1,0.00%,(unknown region),Taiwan
1,0.00%,Saint George,Trinidad and Tobago
1,0.00%,Caroni,Trinidad and Tobago
1,0.00%,Kars,Turkey
1,0.00%,Adana,Turkey
1,0.00%,Mardin,Turkey
1,0.00%,Sivas,Turkey
1,0.00%,Hatay,Turkey
1,0.00%,Canakkale,Turkey
1,0.00%,Amasya,Turkey
1,0.00%,Zaghwan,Tunisia
1,0.00%,Sidi Bu Zayd,Tunisia
1,0.00%,Banzart,Tunisia
1,0.00%,Ahal,Turkmenistan
1,0.00%,Nakhon Pathom,Thailand
1,0.00%,Nonthaburi,Thailand
1,0.00%,Chiang Mai,Thailand
1,0.00%,(unknown region),Togo
1,0.00%,(unknown region),Turks and Caicos Islands
1,0.00%,Dimashq,Syrian Arab Republic
1,0.00%,Sao Tome,Sao Tome and Principe
1,0.00%,Western Area,Sierra Leone
1,0.00%,Maribor,Slovenia
1,0.00%,Nova Gorica,Slovenia
1,0.00%,Vasterbottens Lan,Sweden
1,0.00%,Kronobergs Lan,Sweden
1,0.00%,Jonkopings Lan,Sweden
1,0.00%,Blekinge Lan,Sweden
1,0.00%,Beau Vallon,Seychelles
1,0.00%,Al Qasim,Saudi Arabia
1,0.00%,Yaroslavl',Russian Federation
1,0.00%,Volgograd,Russian Federation
1,0.00%,Rostov,Russian Federation
1,0.00%,Omsk,Russian Federation
1,0.00%,Lipetsk,Russian Federation
1,0.00%,Khanty-Mansiy,Russian Federation
1,0.00%,Kaliningrad,Russian Federation
1,0.00%,Irkutsk,Russian Federation
1,0.00%,Altaisky krai,Russian Federation
1,0.00%,Vrancea,Romania
1,0.00%,Teleorman,Romania
1,0.00%,Salaj,Romania
1,0.00%,Neamt,Romania
1,0.00%,Hunedoara,Romania
1,0.00%,Bacau,Romania
1,0.00%,Central,Paraguay
1,0.00%,Viseu,Portugal
1,0.00%,Portalegre,Portugal
1,0.00%,Warminsko-Mazurskie,Poland
1,0.00%,Swietokrzyskie,Poland
1,0.00%,Opolskie,Poland
1,0.00%,Lubuskie,Poland
1,0.00%,Balochistan,Pakistan
1,0.00%,(unknown region),Philippines
1,0.00%,Tacloban,Philippines
1,0.00%,Ormoc,Philippines
1,0.00%,Lucena,Philippines
1,0.00%,Dagupan,Philippines
1,0.00%,Benguet,Philippines
1,0.00%,Morobe,Papua New Guinea
1,0.00%,La Libertad,Peru
1,0.00%,Ancash,Peru
1,0.00%,Al Batinah,Oman
1,0.00%,(unknown region),Oman
1,0.00%,Taranaki,New Zealand
1,0.00%,Otago,New Zealand
1,0.00%,Marlborough,New Zealand
1,0.00%,Hawke's Bay,New Zealand
1,0.00%,(unknown region),Norway
1,0.00%,(unknown region),Norway
1,0.00%,More og Romsdal,Norway
1,0.00%,Aust-Agder,Norway
1,0.00%,(unknown region),Norway
1,0.00%,Niamey,Niger
1,0.00%,Sofala,Mozambique
1,0.00%,Pahang,Malaysia
1,0.00%,Melaka,Malaysia
1,0.00%,Kedah,Malaysia
1,0.00%,Tlaxcala,Mexico
1,0.00%,Sinaloa,Mexico
1,0.00%,San Luis Potosi,Mexico
1,0.00%,Chiapas,Mexico
1,0.00%,Baja California Sur,Mexico
1,0.00%,Lilongwe,Malawi
1,0.00%,Flacq,Mauritius
1,0.00%,Black River,Mauritius
1,0.00%,(unknown region),Mauritius
1,0.00%,(unknown region),Martinique
1,0.00%,(unknown region),Myanmar
1,0.00%,Mandalay,Myanmar
1,0.00%,Negotino,Macedonia
1,0.00%,Kocani,Macedonia
1,0.00%,(unknown region),Montenegro
1,0.00%,Souss-Massa-D,Morocco
1,0.00%,Chaouia-Ouardigha,Morocco
1,0.00%,Banghazi,Libya
1,0.00%,(unknown region),Libya
1,0.00%,Jelgavas,Latvia
1,0.00%,Daugavpils,Latvia
1,0.00%,(unknown region),Latvia
1,0.00%,Telsiu Apskritis,Lithuania
1,0.00%,Siauliu Apskritis,Lithuania
1,0.00%,Marijampoles Apskritis,Lithuania
1,0.00%,Qaraghandy,Kazakhstan
1,0.00%,Kyongsang-namdo,"Korea, Republic of"
1,0.00%,Kwangju-jikhalsi,"Korea, Republic of"
1,0.00%,Cholla-namdo,"Korea, Republic of"
1,0.00%,Taegu-jikhalsi,"Korea, Republic of"
1,0.00%,Kyongsang-bukto,"Korea, Republic of"
1,0.00%,Cholla-bukto,"Korea, Republic of"
1,0.00%,Cheju-do,"Korea, Republic of"
1,0.00%,(unknown region),Cambodia
1,0.00%,Chuy,Kyrgyzstan
1,0.00%,Tochigi,Japan
1,0.00%,Mie,Japan
1,0.00%,Aichi,Japan
1,0.00%,Saint Catherine,Jamaica
1,0.00%,Saint Ann,Jamaica
1,0.00%,Hanover,Jamaica
1,0.00%,Clarendon,Jamaica
1,0.00%,Umbria,Italy
1,0.00%,Friuli-Venezia Giulia,Italy
1,0.00%,Esfahan,"Iran, Islamic Republic of"
1,0.00%,Ninawa,Iraq
1,0.00%,Karbala',Iraq
1,0.00%,Al Anbar,Iraq
1,0.00%,Arunachal Pradesh,India
1,0.00%,HaDarom,Israel
1,0.00%,Wexford,Ireland
1,0.00%,Tipperary,Ireland
1,0.00%,Kilkenny,Ireland
1,0.00%,Donegal,Ireland
1,0.00%,Sumatera Selatan,Indonesia
1,0.00%,Kalimantan Barat,Indonesia
1,0.00%,Jambi,Indonesia
1,0.00%,Bali,Indonesia
1,0.00%,Aceh,Indonesia
1,0.00%,Gyor,Hungary
1,0.00%,Heves,Hungary
1,0.00%,Vukovarsko-Srijemska,Croatia
1,0.00%,Viroviticko-Podravska,Croatia
1,0.00%,Pozesko-Slavonska,Croatia
1,0.00%,Istarska,Croatia
1,0.00%,Quetzaltenango,Guatemala
1,0.00%,Lesvos,Greece
1,0.00%,Iraklion,Greece
1,0.00%,Khania,Greece
1,0.00%,Argolis,Greece
1,0.00%,Ioannina,Greece
1,0.00%,Pieria,Greece
1,0.00%,(unknown region),Gambia
1,0.00%,Upper East,Ghana
1,0.00%,(unknown region),Georgia
1,0.00%,Saint George,Grenada
1,0.00%,(unknown region),United Kingdom
1,0.00%,Wrexham,United Kingdom
1,0.00%,Neath Port Talbot,United Kingdom
1,0.00%,South Ayrshire,United Kingdom
1,0.00%,Moray,United Kingdom
1,0.00%,Clackmannanshire,United Kingdom
1,0.00%,North Down,United Kingdom
1,0.00%,Newry and Mourne,United Kingdom
1,0.00%,Down,United Kingdom
1,0.00%,Coleraine,United Kingdom
1,0.00%,Banbridge,United Kingdom
1,0.00%,Wokingham,United Kingdom
1,0.00%,Trafford,United Kingdom
1,0.00%,Rutland,United Kingdom
1,0.00%,Redcar and Cleveland,United Kingdom
1,0.00%,North East Lincolnshire,United Kingdom
1,0.00%,Kingston upon Hul,United Kingdom
1,0.00%,(unknown region),United Kingdom
1,0.00%,(unknown region),United Kingdom
1,0.00%,Estuaire,Gabon
1,0.00%,(unknown region),France
1,0.00%,(unknown region),Falkland Islands (Malvinas)
1,0.00%,Sumale,Ethiopia
1,0.00%,La Rioja,Spain
1,0.00%,(unknown region),Eritrea
1,0.00%,(unknown region),Egypt
1,0.00%,Dumyat,Egypt
1,0.00%,Bur Sa'id,Egypt
1,0.00%,Al Isma'iliyah,Egypt
1,0.00%,Parnumaa,Estonia
1,0.00%,Tungurahua,Ecuador
1,0.00%,Pastaza,Ecuador
1,0.00%,Manabi,Ecuador
1,0.00%,Loja,Ecuador
1,0.00%,Azuay,Ecuador
1,0.00%,Boumerdes,Algeria
1,0.00%,Annaba,Algeria
1,0.00%,Jijel,Algeria
1,0.00%,Tiaret,Algeria
1,0.00%,Saida,Algeria
1,0.00%,San Cristobal,Dominican Republic
1,0.00%,(unknown region),Dominica
1,0.00%,(unknown region),Denmark
1,0.00%,Kralovehradecky kraj,Czech Republic
1,0.00%,(unknown region),Czech Republic
1,0.00%,Famagusta,Cyprus
1,0.00%,(unknown region),Curacao
1,0.00%,Limon,Costa Rica
1,0.00%,Cartago,Costa Rica
1,0.00%,Magdalena,Colombia
1,0.00%,Cundinamarca,Colombia
1,0.00%,Quindio,Colombia
1,0.00%,Cesar,Colombia
1,0.00%,Chongqing,China
1,0.00%,Tianjin,China
1,0.00%,Guangxi,China
1,0.00%,Gansu,China
1,0.00%,Hebei,China
1,0.00%,Maule,Chile
1,0.00%,Araucania,Chile
1,0.00%,(unknown region),Cote d'Ivoire
1,0.00%,Nidwalden,Switzerland
1,0.00%,Glarus,Switzerland
1,0.00%,Katanga,"Congo, The Democratic Republic of"
1,0.00%,(unknown region),Belize
1,0.00%,Vitsyebskaya Voblasts',Belarus
1,0.00%,Mahilyowskaya Voblasts',Belarus
1,0.00%,Brestskaya Voblasts',Belarus
1,0.00%,(unknown region),Belarus
1,0.00%,Tocantins,Brazil
1,0.00%,Rondonia,Brazil
1,0.00%,Piaui,Brazil
1,0.00%,Para,Brazil
1,0.00%,Maranhao,Brazil
1,0.00%,Alagoas,Brazil
1,0.00%,Hamilton,Bermuda
1,0.00%,(unknown region),Benin
1,0.00%,Plovdiv,Bulgaria
1,0.00%,Pleven,Bulgaria
1,0.00%,Blagoevgrad,Bulgaria
1,0.00%,Houet,Burkina Faso
1,0.00%,Namur,Belgium
1,0.00%,(unknown region),Belgium
1,0.00%,(unknown region),Bangladesh
1,0.00%,Barisal,Bangladesh
1,0.00%,(unknown region),Bosnia and Herzegovina
1,0.00%,Susa,Azerbaijan
1,0.00%,Sumqayit,Azerbaijan
1,0.00%,Burgenland,Austria
1,0.00%,(unknown region),Austria
1,0.00%,Santa Fe,Argentina
1,0.00%,San Luis,Argentina
1,0.00%,Chaco,Argentina
1,0.00%,Fier,Albania
1,0.00%,(unknown region),Antigua and Barbuda
1,0.00%,Kabol,Afghanistan
